time,reader,port,beam,epc,crc,rssi,session,target,power,field,zone
8/11/15 10:21:15.490,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,46,S0,A,270,3,1
8/11/15 10:21:15.500,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,48,S0,A,270,3,1
8/11/15 10:21:15.529,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1
8/11/15 10:21:16.090,192.168.225.67,2,3,FFFF22222222222222220065,803B,43,S0,A,270,3,1
8/11/15 10:36:17.915,192.168.225.66,1,3,3014025512745D8D15000012,234B,48,S0,A,270,2,1
8/11/15 10:21:16.739,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10001,91F5,45,S0,A,270,2,1
8/11/15 10:36:18.485,192.168.225.66,1,3,AD94180016C4959053000024,2D7E,49,S0,A,270,2,1
8/11/15 10:21:18.049,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10016,F323,45,S0,A,270,2,1
8/11/15 10:21:18.050,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10022,85F4,45,S0,A,270,2,1
8/11/15 10:36:20.074,192.168.225.66,1,3,AD9425001119159354000053,10D,49,S0,A,270,2,1
8/11/15 10:36:20.345,192.168.225.66,2,0,E280681000000039129592FA,B112,43,S0,A,270,3,1
8/11/15 10:21:19.639,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10028,24BE,43,S0,A,270,2,1
8/11/15 10:21:20.260,192.168.225.67,1,0,ABA1ABA1ABA1ABA1ABA10015,C340,42,S0,A,270,2,1
8/11/15 10:36:24.214,192.168.225.66,2,3,E28068100000003910D258F5,CC37,43,S0,A,270,2,1
8/11/15 10:21:27.241,192.168.225.67,1,3,FFFF22222222222222220037,FA8C,43,S0,A,270,3,1
8/11/15 10:36:29.065,192.168.225.66,2,3,FFFF22222222222222220100,8F09,44,S0,A,270,2,1
8/11/15 10:36:34.243,192.168.225.66,1,3,300833B2DDD906C000000000,5A7E,47,S0,A,270,2,1
8/11/15 10:36:34.445,192.168.225.66,2,3,30342992AC548EB903238441,E01C,43,S0,A,270,2,1
